epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,7959.35,0.8324,0.58553,1.05368,0.83553,0.78114,0.83415,0.64874,0.95031,0.83916,1.14199,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8097.44,0.8344,0.58018,1.05456,0.83242,0.79088,0.83719,0.65049,0.94929,0.82831,1.14055,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8236.34,0.82382,0.57691,1.05484,0.84311,0.77731,0.83462,0.64943,0.94547,0.8274,1.14026,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8376.56,0.81592,0.56396,1.04857,0.83306,0.7904,0.83119,0.64996,0.94627,0.82713,1.1409,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8514.53,0.81239,0.55827,1.04641,0.85013,0.78052,0.8347,0.64923,0.94884,0.83182,1.14404,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8653.71,0.80792,0.55687,1.0434,0.84483,0.7747,0.83255,0.64651,0.94839,0.84331,1.14263,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8790.77,0.80043,0.5472,1.03897,0.83746,0.77754,0.82932,0.64652,0.94776,0.8442,1.14406,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,8929.96,0.80209,0.54282,1.03927,0.83141,0.78449,0.83169,0.64859,0.94947,0.83162,1.14392,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9067.31,0.79605,0.53074,1.03687,0.8457,0.77773,0.83376,0.64981,0.95248,0.83534,1.14548,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9206.64,0.79088,0.52698,1.0343,0.84044,0.77915,0.83124,0.64844,0.95056,0.83682,1.14627,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9346.24,0.78824,0.53647,1.03363,0.84507,0.77581,0.83272,0.65003,0.94804,0.83326,1.14496,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9487.85,0.78043,0.52441,1.02974,0.84594,0.77315,0.83091,0.64822,0.94877,0.84002,1.14477,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9625.79,0.76826,0.51536,1.02841,0.83118,0.7884,0.83114,0.64823,0.94972,0.8405,1.14646,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9763.13,0.7697,0.50715,1.02358,0.84468,0.7769,0.83041,0.64603,0.94973,0.84712,1.14894,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,9900.1,0.76153,0.49966,1.01535,0.83586,0.78621,0.82842,0.64581,0.94631,0.84638,1.14769,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10039.8,0.75697,0.4991,1.01804,0.82213,0.79676,0.82692,0.64633,0.94725,0.84652,1.15096,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10177.5,0.75171,0.49834,1.01802,0.84048,0.77898,0.82628,0.64619,0.94875,0.8501,1.15159,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10314.5,0.75564,0.4949,1.01542,0.84033,0.77671,0.82606,0.64573,0.95041,0.85596,1.15184,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10454.6,0.73501,0.48225,1.00695,0.83225,0.78579,0.82689,0.64551,0.94923,0.85627,1.15316,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10593.4,0.73048,0.47606,1.00914,0.83151,0.78605,0.82707,0.64548,0.95128,0.85322,1.15653,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,10735.6,0.73059,0.46977,1.003,0.84194,0.77739,0.82694,0.64589,0.95096,0.85416,1.15616,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
