epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,24219.1,0.33359,0.34256,0.13096,0.95641,0.92365,0.95261,0.49752,0.50485,0.49519,0.68995,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,24624.7,0.33141,0.3447,0.13035,0.95455,0.92455,0.95101,0.46414,0.53421,0.51187,0.76812,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,25018.7,0.30465,0.33185,0.12436,0.95361,0.93673,0.95865,0.46828,0.52862,0.51472,0.76519,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,25417.3,0.33691,0.3493,0.13132,0.95363,0.91587,0.94324,0.38514,0.61272,0.51716,0.86012,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,25803.7,0.40572,0.37083,0.1519,0.95045,0.9255,0.93979,0.34038,0.65923,0.54272,0.94241,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,26209.7,0.35241,0.34882,0.1335,0.93517,0.91534,0.93223,0.39055,0.60476,0.53973,0.88651,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,26611.5,0.37019,0.34855,0.1375,0.94925,0.92555,0.94701,0.44061,0.5521,0.52388,0.82948,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,27009.1,0.25734,0.31024,0.10739,0.9439,0.92047,0.94449,0.45395,0.54285,0.52518,0.80375,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,27408.3,0.25102,0.30362,0.10432,0.94981,0.92636,0.95144,0.4849,0.51564,0.5168,0.75609,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,27805.9,0.24414,0.29711,0.10361,0.95699,0.93082,0.95178,0.49154,0.50806,0.50876,0.73631,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,28200.5,0.24041,0.29682,0.10382,0.95209,0.92598,0.95091,0.4836,0.51295,0.50551,0.72617,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,28598.5,0.28497,0.32077,0.11455,0.94549,0.92625,0.94997,0.45288,0.55147,0.51119,0.76652,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
