epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,41305,0.69859,0.40728,0.11081,0.79863,0.74475,0.76469,0.33317,0.69993,0.60724,0.53689,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,41891.6,0.48273,0.38589,0.07774,0.81196,0.74406,0.76977,0.34157,0.70727,0.60539,0.53778,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,42717.4,0.81294,0.38617,0.12477,0.80977,0.75,0.76993,0.3421,0.73214,0.57036,0.54124,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,43316.5,0.68894,0.38805,0.1078,0.81368,0.74882,0.7695,0.33451,0.74638,0.57655,0.54998,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,43918.3,0.60639,0.39366,0.09276,0.82368,0.74383,0.76963,0.33058,0.74849,0.5785,0.55311,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,44741.4,0.64053,0.39613,0.10092,0.81693,0.73929,0.76424,0.32162,0.74891,0.58453,0.5604,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,45339.4,0.40098,0.37442,0.06935,0.80101,0.75046,0.76644,0.32352,0.74593,0.58701,0.5592,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,46005,0.39675,0.36602,0.06793,0.81197,0.74175,0.7693,0.33133,0.74106,0.58743,0.54926,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,46596.6,0.46707,0.37501,0.07451,0.8034,0.74658,0.76655,0.33589,0.73682,0.58641,0.54717,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,47181.7,0.52759,0.37895,0.08064,0.80912,0.74679,0.76437,0.33816,0.73288,0.58851,0.54374,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,47775.3,0.69488,0.38931,0.10816,0.80565,0.74077,0.76211,0.33929,0.73242,0.58389,0.54035,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,48363,0.79274,0.37491,0.11372,0.7947,0.73491,0.75604,0.33481,0.73906,0.58359,0.54,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,48967.5,0.87539,0.38103,0.12907,0.77224,0.73781,0.75028,0.33145,0.76639,0.56835,0.54212,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,49558.7,0.95016,0.37698,0.14188,0.77444,0.74269,0.75146,0.32902,0.75235,0.57559,0.54364,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,50160.6,0.91543,0.38058,0.13627,0.78515,0.7314,0.74817,0.32302,0.74246,0.58265,0.54666,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,50766,0.89442,0.36916,0.142,0.78355,0.72023,0.74214,0.31904,0.73854,0.59237,0.5474,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
